"Years","OFL","ABC","ACL","Landings"
2008,"fill_in","fill_in","fill_in","101,464.00"
2009,"fill_in","fill_in","fill_in","87,740.00"
2010,"fill_in","fill_in","fill_in","89,571.10"
2011,"fill_in","fill_in","fill_in","80,403.20"
2012,"fill_in","fill_in","fill_in","54,857.00"
2013,"fill_in","fill_in","fill_in","45,818.00"
2014,"fill_in","fill_in","fill_in","27,937.00"
2015,"fill_in","fill_in","fill_in","20,595.00"
2016,"fill_in","fill_in","fill_in","22,704.00"
2017,"fill_in","fill_in","fill_in","21,911.00"
2018,"fill_in","fill_in","fill_in","15,062.00"
2019,"fill_in","fill_in","fill_in","13,759.00"
