year,8c,9aN,9aCN,9aCS,9aS-Alg,9aS-Cad
1978,43522,12915,34246,25974,23333,5619
1979,18271,43876,39651,27532,24111,3800
1980,35787,49593,59290,29433,17579,3120
1981,35550,65330,61150,37054,15048,2384
1982,31756,71889,45865,38082,16912,2442
1983,32374,62843,33163,31163,21607,2688
1984,27970,79606,42798,35032,17280,3319
1985,25907,66491,61755,31535,18418,4333
1986,39195,37960,57360,31737,14354,6757
1987,36377,42234,44806,27795,17613,8870
1988,40944,24005,52779,27420,13393,2990
1989,29856,16179,52585,26783,11723,3835
1990,27500,19253,52212,24723,19238,6503
1991,20735,14383,44379,26150,22106,4834
1992,26160,16579,41681,29968,11666,4196
1993,24486,23905,47284,29995,13160,3664
1994,22181,16151,49136,30390,14942,3782
1995,19538,13928,41444,27270,19104,3996
1996,14423,11251,34761,31117,19880,5304
1997,15587,12291,34156,25863,21137,6780
1998,16177,3263,32584,29564,20743,6594
1999,11862,2563,31574,21747,18499,7846
2000,11697,2866,23311,23701,19129,5081
2001,16798,8398,32726,25619,13350,5066
2002,15885,4562,33585,22969,10982,11689
2003,16436,6383,33293,24635,8600,8484
2004,18306,8573,29488,24370,8107,9176
2005,19800,11663,25696,24619,7175,8391
2006,15377,10856,30152,19061,5798,5779
2007,13380,12402,41090,19142,4266,6188
2008,13636,9409,45210,20858,4928,7423
2009,11963,7226,36212,20838,4785,6716
2010,13772,7409,40923,17623,5181,4662
2011,8536,5621,37152,13685,6387,9023
2012,13090,4154,19647,9045,2891,6031
2013,5272,2128,15065,9084,4112,10157
2014,4344,1924,6889,6747,2398,5635
2015,1916,1946,7117,4848,1812,2956
2016,2886,2887,7695,4031,1972,3233
2017,2251,2225,5182,6676,2836,2742
2018,2764,856,3579,4759,1400,1704
2019,1608,1076,3520,4290,1986,1280
2020,2822,1950,5049,7560,2807,1955
,,,,,,
